,r_mopac_Alpha_LUMO_Energy,r_mopac_Alpha_SOMO_Energy,r_mopac_Dipole_X,r_mopac_Dipole_Y,r_mopac_Dipole_Z,i_desc_Chirality_count,PBF,PMI1,PMI2,FEBc,grupo
96,-3.182,-11.615,-5.12414238384245,-2.29113011393939,-1.78638579284404,3,1.40418171499556,4632.56158418731,7580.55841756991,-11.2,0
97,-2.811,-11.152,0.635137957371578,-6.72889477071352,-8.65386356728613,1,1.13869904964934,4969.9278002063,8659.53236765743,-9.8,0
98,-4.095,-9.29,5.93502977860079,26.7326802278192,31.3981842888759,1,0.943741204870083,4709.10903766305,7391.38134372343,-9.8,1
100,-3.876,-9.208,2.71895767422321,-36.2692814445418,-16.0519889594637,0,1.04850067425762,4332.74155403726,7998.97400103506,-9.0,1
101,-3.802,-9.265,0.607604055520254,37.4518936449663,7.36743540214232,1,1.23310803476502,5240.03827719274,8059.98441307085,-10.4,1
103,-3.868,-9.842,15.6053766504252,21.1173830325631,19.1914900887208,2,1.22504179281114,4999.05151121106,7131.36315173118,-10.6,1
104,-4.046,-9.898,-14.4451213528206,28.7709877844067,17.1155646378542,1,0.93031942158516,5238.06209334275,7702.87964844199,-12.3,1
105,-2.803,-11.56,-1.39474673580318,6.13985554925169,11.8371758094613,3,0.816403684304027,4745.59727543535,8919.57032720381,-10.0,0
106,-3.924,-9.669,-9.13845381391182,30.1565092272228,14.5294290404515,2,0.981347475345875,5109.89626691199,10721.5928182175,-9.7,1
107,-2.759,-11.273,-2.52596804184716,9.06527878665481,8.23868365226817,4,0.961122904293422,6072.08359549472,11611.3237149,-10.1,0
109,-3.935,-9.457,-13.4477733846751,25.8028889704773,14.6927645741034,0,1.15244351666064,5275.46111519131,7362.81602249954,-7.2,1
110,-2.835,-11.071,2.91241322470948,2.26037983276263,-7.67852232457694,1,0.864539710157742,5710.12345274469,7410.42844746452,-9.0,0
112,-2.344,-10.79,-6.17111718507225,5.82426014614969,-10.041201870853,1,1.14702741864613,5944.5628451547,6393.24664323612,-10.5,0
113,-2.834,-11.411,7.03260800817122,1.91700644578433,10.3248208330894,1,0.948338973580258,5424.19259594645,7967.5253536615,-7.6,0
116,-2.402,-10.817,-4.99188614938718,1.01098970171842,-9.55441689718679,1,1.00991652072688,5140.88532039157,12501.3451682111,-6.0,0
117,-2.792,-11.266,-0.247542472153945,2.85494367715874,12.738023685824,1,0.865801154266052,5259.63524373343,12872.0402726019,-10.3,0
118,-3.971,-9.645,16.1570961298678,32.5919335903623,21.3889710052345,1,1.11259800179494,5241.08163197973,7424.24301071263,-10.3,1
119,-3.932,-9.787,-6.59910373343523,-27.6720545178108,-28.7823557168496,0,0.946131080818509,5361.43755600719,8423.91000743197,-8.0,1
120,-2.639,-10.106,-3.38843554149624,-24.1597036968789,-2.33178822685373,0,1.26859000013072,5525.61884163658,7390.14993889262,-7.4,0
122,-2.838,-10.839,-9.21172429661147,-9.73990991214961,-10.0205520370732,2,0.939547014211024,5288.51370526819,7305.73231933242,-8.1,0
123,-2.542,-11.089,-9.72461513680775,-4.88772504034474,-10.7593076824586,2,0.910470474948485,5436.18097886558,8005.19160332732,-10.3,0
124,-2.485,-10.749,3.5990218075287,0.378932624845745,-7.15644035638594,1,0.918916467873388,5760.00373988868,7941.67615923004,-11.3,0
126,-2.656,-11.056,0.55683814040201,-7.03360308714699,11.2066533317633,0,1.11865805052816,4898.11879532176,8846.10181116606,-10.3,0
128,-2.372,-10.265,4.78395594936882,21.8709908418256,-6.80820499656247,1,1.2469700904937,5568.41044091139,7146.21931653844,-10.3,0
129,-2.399,-10.983,-5.08130347584279,-8.79930535152823,8.33385862853781,1,1.12591836506829,5091.47460061685,8577.60189790688,-9.4,0
130,-2.469,-10.778,3.92980117391038,0.768762337043789,-9.07170177752971,2,0.86115641507568,5552.70185843745,8727.64373348563,-6.9,0
131,-3.989,-9.477,10.5388347709349,29.7490171395514,-18.7536630216851,1,1.23237849986506,5402.78090869031,8201.08578556561,-9.2,1
132,-2.654,-11.171,3.08346312670849,6.84425400262598,-12.5041992483689,1,0.974120894640636,4705.94412952342,7844.59540331032,-10.1,0
133,-3.998,-9.634,-15.5744449899246,-27.3927041392252,24.5667943992354,1,1.05123091097971,5368.58752689561,7390.19295162701,-9.8,1
134,-4.04,-9.548,8.635714385013,34.7053651554186,-15.9433518092785,1,0.984569667255781,5033.25065161543,7345.34444009797,-8.2,1
135,-2.55,-10.495,-1.8909818408505,-7.77790174315028,-0.755705471524089,1,1.32137809044195,6868.29575499583,23617.7424739317,-11.1,0
136,-2.615,-10.885,-5.62484347468501,-6.53182632779277,8.71765542399825,2,0.946478796817929,4863.83051346776,8359.30230739909,-7.9,0
137,-3.959,-9.563,-8.81059737082752,18.6943998779092,-22.8704855256669,3,0.957370873397354,5548.22053060667,7609.131136893,-9.5,1
138,-4.126,-9.518,-0.264793561759491,35.6068535918013,-19.6144383468044,2,0.958897197158095,5418.2422050785,6838.43182057693,-9.9,1
139,-4.022,-9.547,8.76825639832805,22.3750546079139,-27.8080475628332,0,1.25537275780979,5202.12934356722,7908.29335844405,-10.8,1
140,-4.056,-9.747,-1.54896736286113,24.1365059799045,-31.9458559100249,0,0.999157750375408,4932.38705761388,8285.92256245915,-8.8,1
141,-4.102,-9.424,-4.28189639882102,32.4888728743592,-28.7419169457272,1,1.67599519310343,5367.84381764199,8807.89474148362,-8.9,1
142,-2.542,-10.797,4.58059832216232,-9.66803143637551,8.26359323030273,1,1.42495939755414,4997.67708937627,7195.8877769107,-8.3,0
143,-4.082,-9.779,-7.45725107757181,-33.0147039326202,-24.2435926491097,1,0.968104086660255,5011.65485048571,7587.92367514785,-10.0,1
144,-4.163,-9.519,-7.38712749900636,-28.4943080635809,33.939944871576,1,1.14793472450208,6187.35871468179,6877.16763327547,-9.3,1
145,-2.332,-10.743,-5.70054790281618,-0.655808151390139,-9.12017138790851,0,0.947242587908928,4812.48277383147,8057.36320543607,-8.8,0
146,-2.778,-11.184,4.13282300262339,6.84787202055409,-12.7563834863793,0,1.03604263935411,4626.61270429352,7744.28004128523,-9.5,0
147,-4.051,-9.31,-13.5613338899908,-27.4447727279146,22.7164773121032,0,1.08902290864712,5638.70923929549,6922.15347060559,-10.5,1
148,-2.525,-10.787,1.81793889899691,-0.690848975278977,-7.56705509348771,2,0.89484303616548,4557.10737224451,21446.4450623025,-7.6,0
149,-3.948,-9.499,10.3505770118553,-28.0494594837161,-21.2683429436199,1,1.48080704894534,4096.29845223278,16492.0443300605,-9.3,1
151,-2.986,-11.52,-3.71871379097541,-5.61665221453737,-7.16504092594543,1,1.10390337616033,5458.48812554091,7832.83400176932,-8.8,0
152,-2.711,-11.172,-0.686487027071523,9.9065276701843,11.1465345658514,1,0.881252502506031,5475.96223657111,7965.67474030515,-6.8,0
154,-2.722,-11.077,3.99748239148736,-5.65543559062796,14.1117057543761,2,1.14839241297451,3616.939489899,16535.0867680078,-10.0,0
155,-3.948,-9.393,-0.544331479875152,33.0279039272095,12.2277269791999,1,1.4344625204307,3199.98320280007,21769.1390081477,-11.0,1
156,-2.862,-11.097,3.92590893261418,-9.7926562900796,0.689013809526614,2,0.951873599405421,5672.33731262695,7184.24864988975,-9.7,0
157,-2.388,-10.171,6.70867373691491,-22.1581246211818,0.761079561102534,1,1.07556516153394,4803.18697425445,7647.71137096699,-8.8,0
159,-2.898,-11.182,-2.1000478849928,9.55860505982953,2.32152187690788,2,1.07915205158239,5637.21841468638,7160.39529116487,-11.1,0
160,-4.066,-9.575,-13.083347658172,35.7303663327614,-7.65769285356628,1,0.906981810716263,5845.55401849247,7367.81598880378,-7.8,1
162,-3.97,-9.402,-1.90913293964502,28.3508208697563,-27.7529688355876,1,1.27638916012712,5636.23470835543,7553.11741793492,-11.2,1
163,-2.853,-11.208,-2.80422051057209,-9.81829823150509,0.714774855433578,1,0.993009911643938,4680.47179752113,9043.33491998742,-8.4,0
165,-4.105,-9.67,15.4195436255154,37.0896446510022,17.5162487489743,1,1.14237833465489,5399.70426515792,6946.43197102422,-10.8,1
166,-4.08,-9.526,7.45405169778085,37.6491283357838,19.3399757119146,2,0.99831754799552,4929.83285632286,7754.40772873995,-9.5,1
167,-2.386,-10.167,-5.21797550136347,21.4767887260208,-7.50563353810119,2,1.15175447001364,4835.03974279541,7052.84004750709,-5.8,0
168,-2.767,-11.179,9.07577166062957,6.87827676300769,-11.2550436134571,2,1.09608891439263,4692.0940033043,8440.3571392347,-6.9,0
169,-3.591,-11.804,0.955311534775142,1.12593616758933,-3.95526394052492,1,1.00996050796029,4203.09565649472,8667.39657853334,-8.4,0
170,-2.6,-9.919,2.38323425388888,27.6123223620889,-6.38508224822634,2,0.867830006416899,5210.23018810409,12014.4661408697,-11.3,0
174,-4.007,-9.64,3.70656381233342,-34.4910113066527,18.7045498718755,2,1.24463711143408,5485.84506600116,6457.89185369633,-8.2,1
175,-3.549,-11.807,0.541108679711761,-1.45676515385768,-2.8497478412841,2,1.27044887361604,5014.74084993272,8524.71316671387,-9.8,0
177,-2.406,-10.017,0.696426913306916,22.257510886437,0.880606261367222,1,0.889771376314394,4899.77261648939,8295.80519860239,-7.8,0
178,-2.768,-10.763,1.28869355842996,-13.2757366248646,-11.5348787633909,0,0.867987409819088,4766.06900251055,8050.7595966334,-9.9,0
179,-4.018,-9.679,14.5617256872528,-33.0569109759571,-2.2210965610528,2,1.11088830661503,4807.04363886223,8143.86657152369,-10.9,1
181,-2.689,-11.252,1.54820163022753,-0.393052051667104,10.1000881912746,2,1.22922147181118,5653.29829491418,6589.96286296595,-8.4,0
182,-2.31,-10.742,-4.97267234857731,3.45565076402932,13.9847401666061,3,1.2674999978273,6057.95720257296,11636.0932522752,-7.6,0
183,-3.038,-10.444,-6.39123934952486,20.7914412474193,4.29131885997293,2,0.819221583209016,5140.57928784871,8683.71100788139,-12.4,0
184,-2.58,-10.937,4.89264769550379,10.0621217039256,9.72793928749618,2,1.52107121425414,5415.77035923797,9025.40921183742,-9.8,0
185,-2.987,-11.167,-4.8351027437656,-4.59400938175786,-6.31837839028811,3,1.03866343309162,4934.19729740197,7304.74802917697,-7.5,0
186,-4.013,-9.607,9.51866988415555,-29.9443630803333,23.8658501900343,0,0.96186718091801,5074.6113886994,7308.05854518267,-8.4,1
187,-2.431,-10.583,-2.6133095198416,-1.63624176415479,6.54096773402878,1,1.2269971705195,4698.49593727907,8202.53033759646,-9.8,0
188,-3.794,-10.202,10.954320225309,31.6549485444991,14.0457247296431,1,0.974965953246884,4383.60708539329,11508.7352506484,-11.3,1
189,-2.4,-10.029,7.44794370190999,21.7986693447728,-7.43240519761369,2,0.931544959388918,5435.95139519816,6706.26395077111,-11.6,0
190,-3.924,-9.531,-15.0977489702725,27.6181630198097,8.87292463822363,1,0.867013587827556,4510.18958338274,9674.85206349791,-11.9,1
192,-2.586,-10.309,0.254346552752939,-21.6674873997864,0.098877789059857,0,1.15530338632482,5578.02249703588,8169.09754341273,-7.2,0
193,-2.489,-10.738,-4.16060302994664,0.946509347414162,-6.90602735054814,2,0.864230722907933,5232.14513909528,7808.03821356163,-8.2,0
194,-3.96,-9.804,-4.11262619632595,39.6208983289531,-16.6236251140714,1,0.951772260960695,4188.66068077257,15234.6364235413,-6.7,1
195,-4.012,-9.937,11.85757598532,-30.0111857781556,-11.7746491365912,2,1.15861319749178,5700.44911240513,7674.7975020786,-7.7,1
196,-3.844,-9.537,-11.7583453370266,19.9167082089339,17.3057562520454,0,0.941791474305957,5516.34165712024,7545.85015474959,-10.3,1
197,-4.059,-10.532,-4.98545118706712,2.33492144007194,-4.80781569748002,1,0.897910639584964,4861.67630546453,7808.31626484901,-9.6,1
198,-2.354,-10.175,12.2379675891439,-0.208414233635973,-16.345784477227,0,1.18948106090665,5044.14540530435,6457.99872697202,-4.1,0
199,-3.95,-9.913,-1.96882316737178,19.4554103828196,29.1076307873161,1,1.22993919825316,5767.39822446587,7005.08606827319,-8.1,1
200,-3.332,-10.229,1.00980371782267,3.3047729568199,-13.2061329381369,1,1.23755822630276,4957.43722630113,9518.09788330671,-7.9,0
201,-3.874,-10.444,6.30456262733414,36.2545049807989,3.72190707264361,2,0.853094326711963,5244.13109196447,11830.973950803,-7.6,1
202,-3.968,-9.679,10.8217124921806,-30.859334509669,-17.1592488603711,1,1.48869729843837,4852.58344512422,8607.05512830493,-9.3,1
203,-2.65,-11.03,-7.03073326718127,10.6332971364369,8.82010662043411,0,1.04705586896645,5696.50873245862,6675.63477853388,-8.0,0
204,-4.05,-9.459,-13.747457880026,-33.0861979999232,-9.04617455726785,1,0.966379894576986,5672.92625423736,8031.06445494216,-8.4,1
205,-2.804,-11.173,8.96029973916312,8.4413146658994,8.83759328576418,2,0.873752776507341,5342.30930893665,7110.77155800589,-9.5,0
206,-2.77,-11.201,3.22006875815792,-8.12468268239905,-9.92419316945892,2,1.19771972492497,5106.9632689964,6791.74014296559,-9.4,0
207,-2.737,-9.79,-1.33722998159179,28.6637484073381,3.89748405360412,0,1.13673570658435,4498.4470746742,8645.64668197983,-8.9,0
208,-3.961,-9.557,-9.90653547571896,-34.2008430632939,-14.3696279670311,2,1.21742077574099,5101.58869352286,8158.75322908346,-10.5,1
211,-4.109,-9.72,-5.12397677640809,31.4794262337711,29.0346662398585,1,1.06145707004107,4675.34500160596,8278.29883055003,-9.3,1
212,-2.477,-10.893,6.89881178688176,8.00960817632357,7.44401194584471,2,1.2212189929284,3579.61518926968,18831.1975422717,-9.0,0
215,-3.567,-11.551,-1.81554896793376,1.02621411293992,7.87678067162463,2,1.01589403791085,4790.01058158481,7946.2053652516,-11.7,0
216,-4.152,-9.428,7.01472860307292,33.2125109721144,-22.8619407019597,2,1.12544108094673,5017.21465214322,8210.11267397998,-6.8,1
217,-2.395,-10.075,3.02503197453176,22.5071587885169,-1.44189833239216,0,0.89704275661226,5101.29464777547,8596.88125606033,-11.5,0
218,-2.534,-9.988,0.921317130880673,-21.5376177074211,-0.132644859475479,0,0.931852564318107,4763.07448735363,8417.19383144861,-10.7,0
219,-3.913,-9.519,15.6976026846497,-29.6662007496631,-17.6675793533611,2,1.09500899123955,4926.57549708829,8838.32658644536,-9.5,1
220,-3.742,-9.842,-7.75460635305383,-25.8266960529884,16.5401365103483,3,1.04136395750057,5530.32978080143,6563.14576676111,-12.7,1
221,-3.875,-9.393,-8.39002889910793,-30.9456028218654,11.4749810029115,2,1.60767803371203,4917.20105000147,7594.83674432484,-11.3,1
222,-2.12,-10.809,1.80814560617649,9.65536202989201,1.06042816201817,2,1.00200390501992,4666.03854941429,8401.44657601207,-10.1,0
223,-4.015,-10.49,8.59253214005921,-31.6468800152146,-26.1208058488834,2,1.13910411517916,4491.56687557274,7153.9313130106,-10.1,1
225,-3.745,-11.793,-0.102916452648021,0.13830734225427,6.33725306667762,2,1.07915519643195,5832.01524958338,7603.07755026517,-9.5,0
226,-2.257,-10.342,4.66917144602377,20.9279291797683,3.44192433229539,1,1.43496845826563,4870.85884076992,7762.47794810861,-8.4,0
228,-2.867,-10.941,-4.16188860796907,-6.08237979768296,12.6234676094507,2,0.854165756256919,5559.28312177106,10777.202698934,-8.1,0
230,-4.071,-9.27,-2.24490644715804,-35.7031507697961,-20.4151128096979,1,0.937006604557588,5094.53083330432,11814.1946646903,-8.7,1
