r_mopac_Alpha_LUMO_Energy,r_mopac_Alpha_SOMO_Energy,r_mopac_Beta_LUMO_Energy,r_mopac_Beta_SOMO_Energy,r_mopac_Dipole,r_mopac_Dipole_X,r_mopac_Dipole_Y,r_mopac_Dipole_Z,r_mopac_Ionization_Energy,r_mopac_MOPAC_Heat_of_Formation,r_mopac_MOPAC_Total_Energy_EV,i_desc_Chirality_count,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,FEBo
-3.992,-9.593,-3.992,-9.674,35.6322001229482,13.626112683162,-28.8848445075033,15.8002688750844,9.59325538541618,-225.771065579844,-7565.5179,1,1.16334133691979,5048.31291872933,6572.71206374108,9924.17218343226,0.508688566201738,0.662293231340119,4.1766259457576,0.000131191002222,0.860950604050906,0.160837748639144,0.26679560590068,-8.9
-2.403,-10.056,-2.402,-10.146,21.2584723086641,-1.49104500972763,20.0450376133267,6.92068614788466,10.0562210661118,-255.872004978359,-7566.5678,1,0.935342743978982,4861.36144984927,8797.79339204488,12574.0069612538,0.386619910807216,0.699680970366476,4.60867055904827,0.00014392695906,0.922239147167057,0.259351752680021,0.139531490697491,-9.1
-2.782,-11.285,-2.766,-11.525,16.9256415261075,-6.50408583054681,-8.68505898149814,12.9901485390689,11.2846032170614,-277.234170912969,-7567.2939,1,1.51523918476549,5258.45942339878,8012.03695576291,10182.2390307727,0.516434490243912,0.786863962979947,4.35759734468298,0.000149637736003,0.856326700089697,0.132849185951462,0.39695090791505,-9.4
-3.972,-9.605,-3.972,-9.667,39.2657539045068,-2.69283415713689,-34.2982375248134,18.925616940616,9.60502341901357,-229.465715938277,-7565.6996,1,0.945952378713426,5863.44923358678,6932.80276785363,11371.9882887712,0.515604578961481,0.609638577864095,4.42356955878939,0.000103972688016,0.856826655837663,0.175290365167185,0.152899251558182,-9.7
-4.053,-9.741,-4.053,-9.96,30.5849930993055,-18.6220514091306,24.1653812133585,2.16687678775702,9.74107990688303,-225.344653368666,-7565.3877,1,1.11654468442815,4799.41557174095,7784.10359974443,10988.9505846156,0.436749217751517,0.708357321275252,4.36870670613834,0.000147592412177,0.89958330397659,0.206923704605913,0.212763476274757,-9.7
-2.921,-11.117,-2.864,-11.093,12.0696536376967,-2.93354746032213,-5.63411264037878,-10.2629241928179,11.0929580402324,-276.373140035459,-7567.1941,2,0.982762056223458,5328.26741301799,7196.13935007455,11450.6342896744,0.46532508839469,0.628448972172981,4.40585322776975,0.000117946214681,0.885139854548689,0.205542040368568,0.176785680086944,-8.5
-3.962,-9.57,-3.962,-9.68,38.6083557864534,-4.55321622713623,-34.0384738263643,17.6424391197539,9.57048103564593,-229.161581717548,-7565.704,2,0.932601955641006,4703.21673210952,8375.1649577358,12033.1956031044,0.390853509511319,0.696005054183207,4.50907378231033,0.000147984899235,0.920452896188982,0.255610822465281,0.137947154564631,-9.7
-4.119,-9.63,-4.119,-9.74,38.6272148916053,7.89401993090173,-36.522520083518,9.79038846838102,9.62958093822045,-221.678351237788,-7565.3614,1,0.876782909587,5508.68003251765,11802.2244609471,16318.2352859405,0.337578171658294,0.723253725304209,5.21804986292019,0.000131293471582,0.941297497085721,0.31275366919417,0.1086133693446,-7
-3.984,-9.475,-3.984,-9.291,41.4614716091386,-4.82593863738155,-32.6488976671243,-25.0960838655213,9.29074410745365,-220.323330524436,-7565.5382,1,0.880215915289544,5433.71754308933,12105.6753372858,16449.7438344307,0.330322319774738,0.735918775339686,5.24590489364287,0.000135435596257,0.943868192630007,0.319821617565361,0.108870190002374,-8.8
-2.432,-10.839,-2.43,-11.056,15.6478577381603,3.25670599377306,-9.42495310467166,-12.0590039737354,10.8386459195175,-263.371225947398,-7566.6503,2,0.897723215835703,3722.90633977563,19363.4694520736,21930.0486381149,0.169762794474844,0.882965184966322,6.03228276114345,0.000237170937,0.985484953518871,0.575100681235642,0.082041672798681,-9.3
-2.86,-11.284,-2.808,-11.125,9.21829708634795,-3.05888251414741,-3.04033472571582,8.14718378904151,11.1252449430134,-270.939585846238,-7566.8658,2,0.941589569494945,5439.68598658528,11246.3688793426,15632.4374648118,0.347974268173461,0.719425163520267,5.11535633441747,0.000132254906863,0.937504084625312,0.300334336212574,0.120471762964943,-9
-4.037,-9.5,-4.037,-9.897,38.4566938243893,8.89992755235941,34.1172028060524,15.3533404233825,9.49996130065397,-222.621498602006,-7565.4692,3,1.14501071328871,2702.75274881785,29611.8849586732,30823.1354411001,0.087685847339656,0.960703203451138,7.14981781814084,0.00035545360332,0.996148177821114,0.760752891636092,0.09324977741209,-9
-2.917,-11.298,-2.899,-11.457,11.000902011924,-0.863335544837373,4.61611800693209,9.94816321534038,11.2978969536083,-276.345622489927,-7567.0291,2,1.37254291163812,4924.25389127156,19652.3304701819,21032.7806034712,0.234122819236695,0.934366731659747,6.07683379612,0.000189747879027,0.97220702811318,0.459862759752969,0.19311075601408,-8.9
-3.945,-9.745,-3.945,-9.863,36.6227745887907,-9.12752779228774,-27.9707136139121,21.8072243742962,9.74511887111766,-222.425195001037,-7565.3227,2,0.854963704073385,5087.64342671153,11979.8063481324,16108.9301710063,0.315827517575843,0.743674857421276,5.18280469699732,0.000146172755252,0.948816620397156,0.33801223850926,0.095150549333467,-6.9
-3.72,-10.185,-3.72,-10.49,31.4835649902188,-9.68535869333246,-26.3074507006568,-14.3292263959829,10.1853475746552,-228.87460171149,-7565.5169,2,1.17669271552734,2626.85292014405,27685.7837003386,27769.5357347601,0.094594772675869,0.996984031882222,6.86319760306634,0.000379535536321,0.995515860738743,0.747056204435521,0.105355228214672,-9.1
-2.725,-9.936,-2.725,-10.099,24.4578774060069,-1.17438358770612,24.0612018933618,-4.22695562350427,9.93551123426514,-254.14436020315,-7566.5952,2,0.783601684914933,5729.27026884734,11945.7016296657,16920.2548137396,0.338604254599939,0.706000102313205,5.29247038051999,0.00012322688042,0.940928880822998,0.315213319910756,0.0756951355573,-9
-2.709,-11.241,-2.728,-11.472,13.4178300913896,-3.42870427350346,-5.90504558833458,-11.550436700227,11.2405489218785,-275.478525453393,-7567.0236,1,1.3455034923183,5537.72552922796,8331.62994742215,11289.8984968283,0.490502685279559,0.737972086264792,4.50967320702147,0.00013326266937,0.871439679916827,0.156858404306181,0.299358206311726,-7.7
-2.554,-10.915,-2.524,-10.774,11.9319842672012,-1.12870308435166,-10.3645933642275,-5.80288568682194,10.7739767038753,-263.879884293099,-7567.0126,1,1.10485111484269,4940.14166524948,7601.47144692338,11139.0315708664,0.443498308970611,0.682417622983015,4.37871930976422,0.000138137257841,0.89627520881714,0.206940244529356,0.222459208232291,-9
-4.081,-9.524,-4.081,-9.894,41.436709917602,1.43388773966649,35.5212618984835,21.2881386665174,9.52394566823346,-221.708710358304,-7565.348,0,0.97154556150065,5162.65734250543,8608.13752898169,12396.6818674275,0.416454773762517,0.694390452303185,4.60289713080468,0.00013450252578,0.909156433959751,0.229447309641606,0.149970995133433,-8.7
-3.503,-11.912,-4.075,-11.013,3.16519721174534,-1.65274223449019,0.320504114802328,2.68033460746371,11.0126516364967,-222.33935488711,-7565.2331,3,0.929093116416335,5923.05576995077,12951.8214864908,17824.5267597077,0.332298066018774,0.726629192521862,5.44660271352594,0.000122678094001,0.943174424653352,0.318955211224544,0.116602050294425,-9.7
-4.026,-9.491,-4.026,-9.941,38.0773794624703,-12.4544414485519,27.9385019914863,22.6762832361316,9.49136918617775,-225.81631413463,-7565.5374,2,1.00155415554229,4714.72583058743,9063.84945004684,12341.5805123911,0.382019614574793,0.734415615645551,4.5949847438984,0.00015577058816,0.924154215529057,0.257458982535623,0.163059437266753,-9.3
-3.587,-11.7,-4.331,-10.627,4.07253982262878,-2.74361324283585,1.91094121098961,-2.32518185714034,10.6272460219623,-216.483830411627,-7565.1259,1,0.845390875066448,5722.45108827328,7467.96967344073,12489.6762916208,0.458174491849115,0.597931403430443,4.5635562492199,0.000104488687488,0.888862269993954,0.224604616285204,0.114783424879143,-8
-2.806,-11.263,-2.826,-11.374,12.0692082610107,2.25483391884154,-8.25091761253618,-8.51492046922519,11.2625947093426,-265.69979950221,-7566.756,4,0.778304961399915,5755.96368335179,13507.0097125713,18596.2624434655,0.309522609763681,0.726329269316022,5.53199927121066,0.000126187257125,0.950892083280264,0.350029548069323,0.07614007904114,-8.8
-3.957,-9.52,-3.957,-9.859,37.3782732144496,12.2082426946598,26.1657168814763,23.7370886774421,9.52033384664444,-222.530299284263,-7565.4393,1,0.979075405597016,5533.55169736105,7732.18606367489,11813.2997169358,0.468417108678621,0.654532285555224,4.50615138545278,0.000118284299371,0.88350744892002,0.193732189473428,0.154093716193985,-9.7
-2.523,-10.748,-2.547,-10.817,10.518859377086,-5.03198290520412,9.21102832865773,-0.694627789040603,10.7481378359108,-277.712114290305,-7567.3579,1,1.40630122885449,5474.46172157106,8850.60890640591,11194.1148694327,0.489048199471307,0.7906483906623,4.54552185329258,0.000144424864192,0.872256761850473,0.152342218209927,0.318391010334662,-8.6
-2.802,-11.192,-2.832,-11.191,13.4316524621335,-2.60257101479682,-6.11901075179782,11.6702022002988,11.1908388025286,-274.565952002187,-7567.1266,1,1.07191671448843,4831.16636296776,7467.43144712722,10761.0844880331,0.448947907466043,0.693929264790309,4.32092775873282,0.000143635969589,0.893557931184018,0.199199163995794,0.203831748486856,-8.7
-4.13,-9.435,-4.13,-9.75,44.9249427304333,-1.29006470865146,33.4263658862815,29.9877354266147,9.43510851370489,-224.556198605889,-7565.5362,1,1.15652166492266,3816.89036139836,7930.15311282363,10292.9954786886,0.370824058875877,0.77044171730599,4.2208738371524,0.000201850628223,0.92870313736889,0.265322183611093,0.228082526362951,-9.8
-3.975,-9.668,-3.975,-9.857,35.8099716986432,13.5955797466842,-22.1853951243992,-24.603303184399,9.66820146592057,-225.66380122953,-7565.5092,1,1.08856949878117,5156.75887126363,7914.24754071121,11543.0041455051,0.446743222670652,0.685631525463246,4.46417834991845,0.00013295784088,0.894662222851641,0.203204740993166,0.212046635410548,-9.2
-4.045,-9.722,-4.045,-9.987,37.4837369891805,0.789270643871357,-26.5368805583612,26.4613219767277,9.72236276095378,-218.238654256129,-7565.3882,0,0.915132564950219,4938.44059008403,8080.29405212918,12013.8955385768,0.411060723328802,0.672579017037668,4.50198026970335,0.000136192590509,0.911607964936903,0.240672220742845,0.128444729423004,-9.4
-2.908,-11.168,-2.899,-11.356,12.0589463361865,1.10416870327085,4.73474238351929,11.0354525405825,11.168085663218,-272.420709882805,-7567.063,3,1.35995688705827,2850.60280761332,22960.0932252341,23504.4613264341,0.121279223038709,0.976839796767101,6.31888653859228,0.000342678325496,0.992618431250965,0.683614331696595,0.165033030323843,-8.9
-2.915,-11.299,-2.9,-11.463,10.815519828529,-1.65506297722528,3.68004534337576,10.0346151881086,11.2985248682842,-276.443985678052,-7567.0305,2,1.46260814121962,3988.62369879079,19127.0587309288,20028.6534890495,0.199145873733926,0.954984754286473,5.91033693848699,0.00023942713738,0.979969857176613,0.523540148947762,0.252661832505134,-8.2
-2.803,-11.137,-2.866,-11.12,15.6531194129999,-4.47025935831455,-10.0884544168394,11.1022527491672,11.1199933303146,-262.763571043382,-7566.753,2,1.03201643432615,6020.39629063137,6862.78589570227,11635.1229125427,0.517432977363855,0.589833553739615,4.45549097337665,9.797254620223E-05,0.855723736924702,0.183016632587842,0.168867184390528,-7.9
-2.392,-10.598,-2.406,-10.89,1.06564480479267,0.286048157050189,-0.5692526831285,-0.854240413806794,10.5975828580594,-276.796398533683,-7567.3576,2,1.10508900398857,5539.19520836508,6908.76356009798,10875.4297696742,0.509331155244178,0.635263498217134,4.34556418785059,0.00011468516171,0.860570609710575,0.169438285275911,0.228248088523967,-8.8
-4.022,-9.526,-4.022,-9.723,36.195497318351,-11.5768243914521,-27.488526202675,-20.5054161220173,9.52631926611923,-227.216305256414,-7565.653,1,1.06951718195221,5132.16319475499,7738.59218045002,11316.4596935915,0.453513142247245,0.683835085352035,4.42530571714323,0.000133245000091,0.891249588953078,0.19773681398789,0.214032301433593,-9.8
-4.049,-9.644,-4.049,-9.643,41.6252348850551,-3.48815904061606,-35.476477557532,-21.4921489352113,9.64273699176136,-228.9148446256,-7565.6824,1,1.01379023249946,5080.90756575665,7268.57561913183,11215.0814281572,0.453042414208446,0.648107253228044,4.36797411112999,0.000127557379236,0.891488962875134,0.208860320847205,0.183136616263954,-9.4
-2.645,-10.514,-2.641,-10.864,13.0662953917562,-3.35741421266368,12.2304048263991,3.14213985233409,10.5138867048446,-269.540352976706,-7566.8682,2,0.918843210628239,5856.2424645788,8056.01436973878,13047.4863436397,0.448840666342876,0.617438038068221,4.67205795108631,0.000105432458066,0.893611803993705,0.224173546428596,0.135484407015215,-9
-4.009,-9.518,-4.009,-9.763,40.1594710955463,-19.8883176541943,-26.7606527290333,-22.3853837375187,9.51781753016431,-218.468724898179,-7565.2601,1,0.914268564109091,5886.39905169201,7707.93020089635,12504.0268849687,0.470760268339484,0.616435830777216,4.59681390394234,0.000104722059338,0.882261168675657,0.205875868108333,0.124121632227361,-6.3
-2.469,-10.88,-2.454,-11.084,9.29870038349357,-3.65712285278423,-6.52475441868835,5.52438784277802,10.8803187055742,-265.458849135204,-7566.9953,2,0.96515911794683,4998.33091890582,8566.49472378435,12238.5242716102,0.408409609522979,0.699961411496001,4.57449464395039,0.000140039029599,0.912798767992863,0.236210495904212,0.143290015444573,-8.4
-4.075,-9.741,-4.075,-9.584,42.7726404452692,4.05141775197831,34.334239620617,25.1842167742673,9.58354357363565,-228.545681777294,-7565.6353,2,0,0,0,0,0,0,0,0,0,0,0,-8.2
-2.253,-10.735,-2.197,-10.816,11.8823049727264,-3.30848206436617,-8.85307627873768,7.20181631933901,10.7350053784772,-260.010239487136,-7566.6147,2,1.34660081153477,5351.88034001887,7432.12908601557,10124.263550545,0.528619223837842,0.7340908352406,4.30671884239402,0.000137165031466,0.848859067330424,0.130912295195812,0.32068283956024,-9.3
-2.742,-11.429,-2.803,-11.429,15.9145154567688,-5.8120169318243,-3.60274895860492,-14.3705414424507,11.4288805704545,-289.715117544256,-7567.7777,2,1.12962580788932,5638.21415894797,7092.1388638192,11075.5977697094,0.509066352551003,0.640339150200585,4.39028901926981,0.000113571271354,0.860727278933588,0.167796111467402,0.24016079461128,-9
-4.099,-9.55,-4.099,-9.859,40.0300443263395,-6.63896245186396,-34.648136332067,-18.9165344354071,9.55026272410307,-228.552062081202,-7565.6442,2,1.07289233360304,4977.55432388701,7242.55101112787,10829.0597577647,0.459647876660574,0.668807003852277,4.31994228836217,0.000134364581546,0.888101249566414,0.196638092163148,0.204832613685234,-8.9
-2.906,-11.202,-2.892,-11.408,12.1237069793823,1.0634236285789,-2.35385882006972,-11.8453682831427,11.2017864219598,-273.523364304332,-7567.0493,2,0.906251184155378,5113.0112442837,7835.4737455534,11967.484982106,0.427241918575938,0.654730192456404,4.4914776719393,0.000128051780287,0.904137347426569,0.23024642109661,0.142970057408629,-9.6
-2.683,-10.901,-2.599,-11.212,8.61536290622263,2.81163648649809,1.37413724053272,-8.02688763580821,10.9007267601608,-272.62678088859,-7566.9957,0,1.38707758318032,5771.56153312484,8484.50784547467,11116.9367563954,0.519168333831221,0.763205551258865,4.53618794148602,0.000132235539183,0.854672007934572,0.133157809859574,0.342297088881155,-9.3
-2.653,-10.88,-2.658,-10.892,9.56793121532843,3.62102791513621,4.5370443978231,7.60583280852548,10.8801174090527,-253.695197005873,-7566.6217,2,1.26876006880531,3199.27219993041,25262.5511170315,26593.7770213686,0.120301535105741,0.949942202521008,6.67653449198251,0.000296924470053,0.992737397629002,0.683485703378563,0.124932030785987,-8.6
-2.404,-10.043,-2.405,-9.982,22.8642837201934,2.08369630340559,22.1528576907605,-5.26161342988878,9.98215490131894,-260.473927501182,-7566.7106,0,0.996747136006726,4955.80448190802,9061.37736021661,12793.7463769048,0.387361476139171,0.708266139820791,4.66295261845465,0.000142916481553,0.921927918442262,0.256584087695585,0.145783276240293,-9.1
-3.991,-9.591,-3.991,-9.882,41.6484523628922,17.0748070006784,29.4611948306509,23.9808788259337,9.59095881508091,-226.355966342671,-7565.544,1,1.22530635872107,4899.09956007796,8543.00698620424,11208.397459915,0.437091883795056,0.762197006017756,4.47113701972079,0.000155578999094,0.899416858370183,0.198107036649923,0.276805442232377,-9.8
-2.618,-10.877,-2.586,-11.091,7.13862131374573,-1.8875745758862,0.179784064734223,6.88219835311367,10.8769479783909,-279.281647445168,-7567.4436,1,1.05929984813329,2177.57021694238,26927.1078361174,27783.1288557341,0.078377429275499,0.969189178653647,6.78672014947589,0.000445078267104,0.996923757656604,0.784196382163763,0.088429212510404,-9.5
-4.058,-9.616,-4.058,-9.707,35.6535109724552,-4.85189017132323,-32.6250191201486,-13.5366219507801,9.61630884314065,-227.099089156662,-7565.5056,2,1.13022415747479,2619.23062532678,24810.0237841426,25828.6151062111,0.101408093874028,0.960563455768732,6.56662537106004,0.000366734966551,0.994844911781146,0.727784596788032,0.102986355302967,-8.1
-2.903,-11.07,-2.844,-11.125,8.83928433589352,2.18589724747343,-2.03814863718659,8.31869887223928,11.06955509416,-272.76296738151,-7566.9422,1,1.02778739179557,4673.23165331756,6978.30997375244,10446.3059848656,0.447357339531128,0.668016998914497,4.22985356692831,0.00014294540662,0.894355304544917,0.207524991935803,0.179187314832233,-10
-2.399,-10.597,-2.402,-10.711,16.6305675426769,-5.21264451712356,-14.0545738046703,-7.20229609907267,10.5971081059549,-258.878781022359,-7566.6971,2,1.04112798211329,4160.67552208349,18137.3023915081,20711.5651816974,0.200886581269108,0.875708920711404,5.90109709035352,0.000210472774448,0.979614506561642,0.514541599692566,0.108972947071945,-9.9
-2.828,-10.511,-2.829,-10.411,15.4178674743701,1.39039572658464,7.91739809246416,13.1564525851834,10.4113501367235,-215.801701635559,-7564.9188,3,0.948448815908407,4899.54356730265,8042.35837560202,11715.7136223673,0.418202742507174,0.686459112507478,4.46813086295427,0.000140106747308,0.90835371203044,0.229707983551267,0.147991234947295,-9.2
-4.202,-10.25,-4.202,-10.588,43.1593528150896,-1.06255615194931,-35.9621340169788,-23.8395810950234,10.2500686580242,-244.428887772636,-7566.2712,2,1.24293491437099,4897.01755875227,7134.25345331981,10224.4922602084,0.478949705679808,0.697761147620491,4.24494035346895,0.000142486960532,0.877842343151221,0.173370240703314,0.278216299124444,-8.7
-4.118,-9.462,-4.118,-9.759,42.9766580466527,-3.08903443644928,31.6070729859081,28.9558964698528,9.4620008989259,-221.823715072038,-7565.4073,3,0.914468861553597,5197.42246549964,7143.64034087174,11516.0640419365,0.451319343707443,0.620319608753281,4.39500542524714,0.000119351392516,0.892362510415741,0.220784342787051,0.128331510376638,-9.4
